================================================================================================
A. CCLE  |  TGM2 (log2 RPKM+1) vs CCLE_NP24 药敏 ActArea/IC50
================================================================================================
[A] TGM2 有值细胞系: 1075
[A] CCLE 药敏: 504 细胞系, 97 个字段

  说明：CCLE 药敏字段含 ActArea(活性面积,越大=越敏感) 与 IC50/EC50。
        对 IC50 类字段 rho>0 = TGM2高更耐药；对 ActArea 类字段 rho<0 = TGM2高更耐药。

  字段                                            n     rho          P        FDR
  Mitomycin_87663                                  59  -0.115   3.87e-01   4.61e-01  TGM2高→耐药
  Carboplatin_568180                               59  -0.092   4.88e-01   5.73e-01  TGM2高→耐药
  Mitomycin_423375                                 59  -0.091   4.94e-01   5.76e-01  TGM2高→耐药
  Cisplatin_301178                                 59  -0.085   5.22e-01   5.97e-01  TGM2高→耐药
  Topotecan_580652                                 59  -0.076   5.68e-01   6.44e-01  TGM2高→耐药
  Cytarabine_549052                                59   0.003   9.81e-01   9.81e-01  TGM2高→敏感
  Gemcitabine_486649                               59   0.018   8.92e-01   9.16e-01  TGM2高→敏感
  Everolimus_48430111                              59   0.044   7.43e-01   8.10e-01  TGM2高→敏感
  Bleomycin_301184                                 59   0.179   1.76e-01   2.35e-01  TGM2高→敏感
  Vinblastine_144075282                            59   0.233   7.56e-02   1.11e-01  TGM2高→敏感
  Vincristine_112141                               59   0.243   6.34e-02   9.60e-02  TGM2高→敏感
  Cytarabine_144476                                59   0.253   5.35e-02   8.25e-02  TGM2高→敏感
  Docetaxel_494081                                 59   0.253   5.33e-02   8.25e-02  TGM2高→敏感
  Temsirolimus_520036                              59   0.286   2.82e-02   4.64e-02  TGM2高→敏感 *
  Fluorouracil_144075048                           59   0.288   2.68e-02   4.47e-02  TGM2高→敏感 *
  Docetaxel_144076180                              59   0.333   9.94e-03   1.80e-02  TGM2高→敏感 *
  Vincristine_144075912                            59   0.355   5.81e-03   1.08e-02  TGM2高→敏感 *
  Irinotecan_48427687                              59   0.373   3.58e-03   7.10e-03  TGM2高→敏感 *
  Vinblastine_397349                               59   0.389   2.35e-03   4.81e-03  TGM2高→敏感 *
  Pazopanib_144074186                              59   0.411   1.24e-03   2.70e-03  TGM2高→敏感 *
  Topotecan_144075973                              59   0.416   1.04e-03   2.32e-03  TGM2高→敏感 *
  Dasatinib_144076207                              59   0.440   4.81e-04   1.15e-03  TGM2高→敏感 *
  Oxaliplatin_569872                               59   0.446   3.97e-04   1.03e-03  TGM2高→敏感 *
  Bleomycin_144075635                              59   0.448   3.68e-04   9.75e-04  TGM2高→敏感 *
  Sunitinib_91148451                               59   0.454   3.08e-04   8.41e-04  TGM2高→敏感 *
  Mitomycin_144074891                              59   0.478   1.27e-04   4.11e-04  TGM2高→敏感 *
  Etoposide_427063                                 59   0.484   1.02e-04   3.53e-04  TGM2高→敏感 *
  Imatinib_91146949                                59   0.489   8.54e-05   3.09e-04  TGM2高→敏感 *
  Paclitaxel_144075668                             59   0.493   7.34e-05   2.96e-04  TGM2高→敏感 *
  Axitinib_144075334                               59   0.504   4.73e-05   2.10e-04  TGM2高→敏感 *
  Pazopanib_48431568                               59   0.517   2.81e-05   1.67e-04  TGM2高→敏感 *
  Bortezomib_518755                                59   0.522   2.20e-05   1.51e-04  TGM2高→敏感 *
  Erlotinib_534851                                 59   0.523   2.16e-05   1.51e-04  TGM2高→敏感 *
  Dasatinib_48429642                               59   0.530   1.58e-05   1.48e-04  TGM2高→敏感 *
  Etoposide_144075353                              59   0.532   1.47e-05   1.43e-04  TGM2高→敏感 *
  Irinotecan_144076208                             59   0.537   1.17e-05   1.38e-04  TGM2高→敏感 *
  Doxorubicin_144075893                            59   0.578   1.63e-06   1.07e-04  TGM2高→敏感 *
