gene,rho_tcga,rho_adj_purity,rho_ccle,p_ccle,n_ccle,fdr_ccle
ZFY,0.10487587693191,0.0775843284772068,0.02674690888372851,0.88253923906695,33,0.9474395881294829
ENKUR,0.3914626013753905,0.3564457821419923,0.022393048128342245,0.9015579543205565,33,0.9474395881294829
XIST,-0.1074514020822898,-0.1105624980321153,0.022393048128342245,0.9015579543205565,33,0.9474395881294829
IL20RB,0.3400829739346173,0.26838359832247,0.022393048128342245,0.9015579543205565,33,0.9474395881294829
C1R,0.5375970603825487,0.4887957933015144,0.012366310160427808,0.945544926243306,33,0.9754962397391651
FABP6,0.2655879238285095,0.2052243925683873,0.008689839572192513,0.9617199576740234,33,0.9832510015025462
SFRP4,0.1787829689884264,0.1538582198260205,0.004011030347421002,0.9823257368023499,33,0.9941086640252161
FST,0.1607126370161073,0.1278377321563406,-0.001336898395721925,0.9941086640252161,33,0.9941086640252161
FABP4,-0.2272984142935465,-0.1713924305433097,-0.0025140475188079746,0.9889215409850884,33,0.9941086640252161
ABCA17P,0.1966918167012954,0.2043769468735595,-0.012032085561497327,0.9470145977029851,33,0.9754962397391651
NEGR1,0.1610466974169921,0.1610366079732571,-0.0213903743315508,0.9059458835398706,33,0.9474395881294829
DNAJC28,-0.3861053706881246,-0.3676257358588302,-0.027406417112299467,0.8796636910411236,33,0.9474395881294829
PITX2,0.2887686779645781,0.2360623363652923,-0.03342245989304813,0.8535069513307668,33,0.9474395881294829
CCDC74B,0.1712478092973387,0.1281647010323885,-0.03710203071364427,0.837582137252669,33,0.9474395881294829
PIPOX,0.142371162697809,0.0897987364032567,-0.03810160427807487,0.8332667138980836,33,0.9474395881294829
MMP16,0.2245960079656916,0.1698801756258265,-0.03977272727272728,0.8260627489013268,33,0.9474395881294829
PTPN3,-0.4112357505635549,-0.3741187643995782,-0.047459893048128345,0.7931120453812652,33,0.9448378279759421
NPTX2,0.3181787571369158,0.2886521674014075,-0.056149732620320865,0.7562846412420678,33,0.936907244270294
SLCO5A1,0.2871154818802223,0.1789709779143259,-0.061831550802139035,0.7324812401851004,33,0.936907244270294
PRAME,0.2696912192501169,0.2067064180886448,-0.06316844919786097,0.7269148990369839,33,0.936907244270294
ARHGAP8,-0.2995959222522319,-0.2134019462449871,-0.06473563194114465,0.7204071642654266,33,0.936907244270294
SLC16A11,-0.2299709067949547,-0.1692874460244554,-0.06922010835117956,0.7018928238831988,33,0.9346829069665245
MSC,0.1741149389342309,0.1372584686284253,-0.07420406142728854,0.6815123739403051,33,0.9244738153714769
SLC38A4,-0.1844730996995446,-0.2071065143956611,-0.07503969274966792,0.6781163583884946,33,0.9244738153714769
PDLIM3,0.2616711696056206,0.2026679631663699,-0.07526344829396246,0.6772080639598002,33,0.9244738153714769
PLA2G2A,0.2913287948839072,0.2461164917509336,-0.09840050874220448,0.5858930151632515,33,0.863089710509306
RYR2,0.3145581512585867,0.2475004655097113,-0.09959893048128343,0.5813147111970498,33,0.863089710509306
EYA1,0.3012775301055181,0.2831511656315471,-0.10995989304812835,0.5424136858461404,33,0.8444394881922868
FZD10,0.2003585906423384,0.1550370610911423,-0.11330681426802396,0.5301169171842418,33,0.8444394881922868
FREM2,-0.2086903999426703,-0.1745732201836045,-0.11497326203208558,0.5240449377787748,33,0.8444394881922868
CCDC74A,0.2015108644012388,0.1558255209448065,-0.12934491978609627,0.47312597132579703,33,0.8139396965463588
C5orf38,0.1528674776821253,0.1078385050894342,-0.13160880773819095,0.46534840878052164,33,0.8139396965463588
SCD,0.2519862616334077,0.2622375291548701,-0.13536096256684493,0.4526081498803749,33,0.8139396965463588
PYCR1,0.2772250329681479,0.2402433333644194,-0.1377120419281211,0.4447216940611596,33,0.8139396965463588
CDC25C,0.2873061875644669,0.2239099242390105,-0.14171122994652408,0.43147971323820344,33,0.8139396965463588
FAM57B,0.2070497238151956,0.1763180895702065,-0.14239157733344557,0.42924881330408016,33,0.8139396965463588
HSD3B7,0.2462250824733728,0.216971008825658,-0.14806149732620322,0.41090649824019765,33,0.8139396965463588
