gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
CPLX1,0.4384484983914777,4.817401453158528e-10,184,0.410086503599659,7.231226758761605e-08,161,0.520516002778747,4.267173220706672e-14,1.455732258064517,0.9185588709677416,up_in_TGM2high,3.2426809781475683e-09,2.847011289927525e-07,2.0083424394141453e-13
SPINK1,0.4374034722563819,5.352447817068841e-10,184,0.4467880716834976,3.1765955428505136e-09,161,0.5166835135284378,7.029758515894305e-14,5.290719354838712,2.6038365591397854,up_in_TGM2high,3.5645024824309516e-09,2.339469188028731e-08,3.099034387992842e-13
C1orf130,0.4357986472983897,6.287701956869873e-10,184,0.44055602179148046,5.545619266414388e-09,161,0.5364128870354211,5.0253676055041605e-15,2.676632258064516,1.375492069892473,up_in_TGM2high,4.143264657895305e-09,3.769874593034268e-08,3.419434914180005e-14
DPEP1,0.43520050912024616,6.675227018463504e-10,184,0.41977525971654456,3.28454810084648e-08,161,0.43863699893887714,5.273422209982307e-10,2.765398387096774,2.747973723118279,up_in_TGM2high,4.352804284956409e-09,1.489947181978186e-07,9.943259950147363e-10
CASP10,0.4343703646625956,7.251558344799013e-10,184,0.3856798792498152,4.7412870170699047e-07,161,0.5958534843548016,5.698809105236253e-19,1.485456451612901,1.1248276881720454,up_in_TGM2high,4.679871674066167e-09,1.3934486726224227e-06,1.2202055398126603e-17
ALPI,0.4335843941701041,7.841397079341398e-10,184,0.4638393245440166,6.522875899596182e-10,161,0.547049540394779,1.1266878688390689e-15,2.9947322580645155,2.0471400537634405,up_in_TGM2high,5.008892420069097e-09,6.0048828134517796e-09,9.280350077542855e-15
MGAT3,0.43337635568569277,8.005129173910092e-10,184,0.43560363279242786,8.566495540968209e-09,161,0.5257382432331288,2.1394664944705287e-14,2.305587096774194,1.1195361559139796,up_in_TGM2high,5.061829154411837e-09,5.416794150147574e-08,1.1350051063886026e-13
METTL7B,0.43303346111614105,8.282238917648644e-10,184,0.43971942297538874,5.971252037448624e-09,161,0.5459408613558142,1.319966553672551e-15,2.6870419354838733,1.3770703629032264,up_in_TGM2high,5.184681562448051e-09,3.976599761109403e-08,1.0731156657130091e-14
SERPINA4,0.43269138589111755,8.567920402262462e-10,184,0.46852136876189004,4.158562786120446e-10,161,0.521991288500068,3.515253534028747e-14,3.30803870967742,1.0188002688172038,up_in_TGM2high,5.310414031501288e-09,4.338767173518999e-09,1.7327155214976341e-13
TRIM40,0.4312819429712647,9.848831681924148e-10,184,0.3830343321880975,5.761518631068686e-07,161,0.5798191115847401,7.935829034125656e-18,2.4671564516129028,1.803063978494624,up_in_TGM2high,5.985794789208269e-09,1.6468998461410947e-06,1.2116656037469905e-16
SUSD2,0.43103773766639053,1.0088824870191034e-09,184,0.34757019231288144,6.694175200639631e-06,161,0.3848172437577947,7.506087719595237e-08,1.2676241935483867,0.8492807795698925,up_in_TGM2high,6.0726965084034495e-09,1.3922105234552856e-05,1.0606796642136836e-07
C1orf127,0.430606593275363,1.0526406229418183e-09,184,0.3872562400295302,4.218022421770493e-07,161,0.44497260529360333,2.7719236253803555e-10,1.1321435483870967,1.2318492607526883,up_in_TGM2high,6.275743142491221e-09,1.2755951864871153e-06,5.50864822059715e-10
CCL15,0.43019289923528786,1.0963494683833631e-09,184,0.448477775225324,2.725885532164265e-09,161,0.5505586674853912,6.799713218727751e-16,3.456122580645162,1.8819664650537635,up_in_TGM2high,6.474667615169673e-09,2.0809809062619873e-08,6.169015181048655e-15
OSBPL7,0.4298395330469457,1.1350694783089348e-09,184,0.4276826805772382,1.69291311224543e-08,161,0.4964871463137709,8.824242223932947e-13,1.4988983870967738,0.7312120967741942,up_in_TGM2high,6.640686854405543e-09,8.905576540047389e-08,3.0185659192251502e-12
