gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
P2RY2,0.39885459433638076,3.498423636122847e-08,178,0.4385279556000763,2.4799919643558727e-08,149,0.4090613684821925,1.577167680004711e-08,1.2537383333333318,0.8023714285714281,up_in_TGM2high,1.0219079568674632e-07,8.34179115283339e-08,7.893158520120575e-08
AREG,0.39722893963267447,4.0207524426053535e-08,178,0.42273037915915956,8.688973791083153e-08,149,0.3748628077310787,2.738817334749942e-07,1.6337200000000047,0.9209814732142868,up_in_TGM2high,1.1443680028953697e-07,2.352380709293244e-07,8.000229583085358e-07
ANO1,0.38994541077038797,7.432316008551465e-08,178,0.42308729726693445,8.452217502473349e-08,149,0.3358812301379216,4.867133332425674e-06,0.9977583333333352,0.6693177083333328,up_in_TGM2high,2.0624676923730315e-07,2.3454903569363543e-07,1.0593172547044114e-05
C4orf26,0.3893664931074046,7.799317523545683e-08,178,0.40477464857953677,3.3493462513865336e-07,149,0.3696046942286259,4.129991660631613e-07,1.1366816666666666,0.6262514880952381,up_in_TGM2high,2.1115225490574899e-07,7.910158168168197e-07,1.1460726858252725e-06
CGB5,0.38692345674766754,9.548818199266712e-08,178,0.42088140983612343,1.0020747798841307e-07,149,0.3602443123751617,8.429117251092043e-07,2.918088333333333,1.7829344494047614,up_in_TGM2high,2.523616238377631e-07,2.5867511759799653e-07,2.1758884066772484e-06
TGFA,0.38055660616743786,1.6057538140115179e-07,178,0.4218450093774513,9.30401578128541e-08,149,0.3849700928306675,1.2181769250669522e-07,1.138956666666667,0.5871785714285682,up_in_TGM2high,4.145085426866941e-07,2.4589184564825725e-07,3.976989373012697e-07
KRT80,0.37682759912062475,2.1660843868751444e-07,178,0.39834491196009647,5.328455618114704e-07,149,0.3779450814421078,2.1454625702607432e-07,1.465518333333332,0.8170173363095241,up_in_TGM2high,5.46444015779866e-07,1.1845846951355042e-06,6.43638771078223e-07
PKD1L2,0.3744663149380716,2.6131006050056985e-07,178,0.4057288910244769,3.1237179914541374e-07,149,0.31728215252239234,1.6852693761793033e-05,1.4774816666666664,0.6363532738095241,up_in_TGM2high,6.420473449651287e-07,7.537667327204549e-07,3.170591538235638e-05
SLC16A3,0.37421782614321175,2.6649756535790617e-07,178,0.38605981198748757,1.2596584642455916e-06,149,0.3573175327973049,1.048717891839186e-06,1.062496666666668,0.616678125,up_in_TGM2high,6.420473449651287e-07,2.6381526326652954e-06,2.586837466536659e-06
SLC7A5,0.3739658782376937,2.7185788480505447e-07,178,0.3866607549779754,1.2087158152808211e-06,149,0.35378072952806233,1.3616156237149109e-06,0.9678850000000024,0.6441838541666645,up_in_TGM2high,6.420473449651287e-07,2.5801433749263683e-06,3.2157305155820237e-06
KRT17,0.3702120053748741,3.650382314243719e-07,178,0.4022365640219073,4.027752318512495e-07,149,0.3194406908106949,1.4651221424062748e-05,2.525264999999997,1.6398757440476182,up_in_TGM2high,8.441509101688601e-07,9.314177236560144e-07,2.853132593106956e-05
CGB,0.36884160571990754,4.061285390390532e-07,178,0.39832519664281024,5.335967095204974e-07,149,0.3451827269784409,2.535473503937545e-06,2.772015000000001,1.6942649553571432,up_in_TGM2high,9.200054659864266e-07,1.1845846951355042e-06,5.7436236517768875e-06
FOXL1,0.3674607337362716,4.519876788283728e-07,178,0.4286408974016489,5.476327814333415e-08,149,0.4127976118174273,1.131793113192275e-08,1.290238333333333,0.8469814732142869,up_in_TGM2high,1.0034126469989876e-06,1.7367782496885974e-07,5.982335026873453e-08
PRR11,0.3668138949668805,4.7513476679464547e-07,178,0.4102068370982448,2.2452979372053596e-07,149,0.32473606726267734,1.034518671468962e-05,1.4976650000000005,0.6139586309523803,up_in_TGM2high,1.0341168453765813e-06,5.538401578439887e-07,2.1265106024639776e-05
LY6D,0.3624442941612146,6.639028201448712e-07,178,0.3637695263565165,5.503657957791158e-06,149,0.30487600063140646,3.690709774694387e-05,2.860898333333333,1.4388172619047612,up_in_TGM2high,1.4171771737707829e-06,9.398554358689516e-06,6.302596692170415e-05
LAMA3,0.3602103777043125,7.86238391570592e-07,178,0.4303081964985022,4.799984550402635e-08,149,0.34167464202789655,3.25048396967286e-06,1.202468333333332,0.8154016369047614,up_in_TGM2high,1.646650216308221e-06,1.567053779690272e-07,7.21607441267375e-06
KRT16,0.35476780447982453,1.1808174619359796e-06,178,0.3848430729598547,1.3691294255057836e-06,149,0.3275820104342578,8.557259332914517e-06,2.337848333333337,1.8015584821428567,up_in_TGM2high,2.383104332270795e-06,2.8143215968729995e-06,1.7921807282141726e-05
CTSL2,0.3534447814675364,1.3020439192155133e-06,178,0.3648194131517513,5.1468785737899394e-06,149,0.3546456672875564,1.2777607231602563e-06,1.1848233333333311,0.7693355654761902,up_in_TGM2high,2.5808370541593213e-06,8.926617526416926e-06,3.083292179799749e-06
IVL,0.345403325590201,2.3361237401451286e-06,178,0.36328636468832154,5.675608421856458e-06,149,0.2853097040377334,0.00011849378375179738,1.957765,1.0998305059523812,up_in_TGM2high,4.470857502691539e-06,9.402873654120401e-06,0.00017784349334491517
?|729884,0.33465402162609553,4.977666105635954e-06,178,0.3451310681567116,1.7402256069585272e-05,149,0.2915402655130791,8.247801674561376e-05,1.7083049999999995,0.9271064732142856,up_in_TGM2high,9.057720290583458e-06,2.610338410437791e-05,0.00013078656941090182
GPR115,0.3330615041463732,5.554702759992161e-06,178,0.3326180225969882,3.621426439153518e-05,149,0.2693769050890585,0.00028819218312906166,1.474191666666668,0.7796690476190493,up_in_TGM2high,9.944709779985966e-06,5.0883333512157026e-05,0.0003949300287324178
CDK6,0.3317262962023645,6.086886967891948e-06,178,0.3762113346956093,2.4493800418715775e-06,149,0.2957710693763658,6.417887831056228e-05,0.6008266666666628,0.6073197172619071,up_in_TGM2high,1.072451513390486e-05,4.687606631857674e-06,0.0001079372044314002
RHOD,0.3257788620204292,9.10204599775047e-06,178,0.3474768968056717,1.5114899531025823e-05,149,0.36504987149082574,5.860594864826576e-07,1.153859999999998,0.6888672619047629,up_in_TGM2high,1.578636102734847e-05,2.3302136776998142e-05,1.5488714999898808e-06
COL7A1,0.32497241812945443,9.60622561598026e-06,178,0.3312974692233699,3.905485661780088e-05,149,0.2561972788797953,0.0005775119646671293,1.5848316666666662,0.6859691964285712,up_in_TGM2high,1.640447759036629e-05,5.3519618328097505e-05,0.0007368256100925444
AHNAK2,0.32337655290984746,1.06829145556484e-05,178,0.3652509743511619,5.006674985320645e-06,149,0.2793652170913414,0.0001661277662914273,1.4484799999999982,0.9429850446428568,up_in_TGM2high,1.796671993449958e-05,8.8212844979459e-06,0.0002458690941113124
KLK6,0.3208397812477764,1.2632629915149784e-05,178,0.33044781716687316,4.099176539918325e-05,149,0.242521728369649,0.001144449141544213,2.2218600000000004,1.9023777529761892,up_in_TGM2high,2.0928685381815314e-05,5.4820312762763144e-05,0.0013808027686022571
LAMB3,0.31981687968823425,1.3510314420276198e-05,178,0.3811844143614176,1.755491229246687e-06,149,0.3317971597891542,6.438122988814343e-06,1.5462850000000028,1.1192502232142818,up_in_TGM2high,2.2053601480156738e-05,3.4796344008282546e-06,1.3742916379969077e-05
SLC2A1,0.31677392654126,1.6474809186806765e-05,178,0.38230459791481036,1.6273633825899043e-06,149,0.31400641369507326,2.0798896532572837e-05,0.9851616666666684,0.8386924107142857,up_in_TGM2high,2.6502953909210883e-05,3.284315190317807e-06,3.847795858525975e-05
ANLN,0.31428863243925875,1.9341709804962545e-05,178,0.37361801581239296,2.907696478439097e-06,149,0.3120782751853542,2.3513811228812342e-05,1.2224649999999997,0.7111514880952363,up_in_TGM2high,3.008462415621184e-05,5.4704120187583015e-06,4.209730719997048e-05
FOSL1,0.3142375647522313,1.9405285553262176e-05,178,0.3618952833849774,6.199541545965888e-06,149,0.3073374302523751,3.1678965325933254e-05,1.1392049999999987,0.7150004464285722,up_in_TGM2high,3.008462415621184e-05,1.011983987650314e-05,5.494320548716549e-05
SKIL,0.31415032412022614,1.9514350804029302e-05,178,0.3371998467730762,2.7792317522907795e-05,149,0.21734633405893797,0.0036615430576563816,0.652840000000003,0.5862667410714302,up_in_TGM2high,3.008462415621184e-05,3.955060570567648e-05,0.004190013189689261
CGB1,0.3127793801057913,2.1306123176349805e-05,178,0.3538013751466334,1.027905000724564e-05,149,0.30878817226295385,2.8933010917209078e-05,1.88918,1.2968840773809525,up_in_TGM2high,3.210636876774113e-05,1.6299636440060942e-05,5.097720971127314e-05
LOC100131726,0.3127074852149428,2.1404245845160754e-05,178,0.3664213234666778,4.644448082816474e-06,149,0.2921987330921089,7.934033783788094e-05,1.325628333333334,0.8323645089285714,up_in_TGM2high,3.210636876774113e-05,8.315060277300462e-06,0.00012763445652180845
DSG3,0.31137428317435917,2.3302936079918787e-05,178,0.3225194426062064,6.395735805062413e-05,149,0.2784401363213785,0.00017497834500098625,1.8702233333333345,2.041930357142858,up_in_TGM2high,3.415153515169014e-05,8.160076716803768e-05,0.00025556047756722996
TRIM29,0.3104597849730498,2.4696021762763038e-05,178,0.36352936491349136,5.5885016827299644e-06,149,0.2761097868361371,0.00019925994316160358,2.0385349999999995,1.337588988095236,up_in_TGM2high,3.560075864502204e-05,9.398843739136759e-06,0.0002835622268068974
TMEM40,0.3099295197413236,2.553938879233583e-05,178,0.319571163360036,7.522779565239677e-05,149,0.26606157752421916,0.000344417023145817,1.5679033333333332,0.784476636904762,up_in_TGM2high,3.634451481986253e-05,9.488960587972776e-05,0.0004662230435266547
GJB4,0.30899653754149026,2.708956268864636e-05,178,0.3182177284915907,8.100145958611394e-05,149,0.2934572237930963,7.365229334034882e-05,1.773490000000001,1.2657041666666675,up_in_TGM2high,3.806255010683223e-05,0.00010102429229279378,0.00012022653765851058
PADI3,0.3007425302489428,4.523522703176381e-05,178,0.27157040495021,0.0008415398194077466,149,0.2513321450625497,0.000739778385970347,1.654041666666668,0.8104165178571421,up_in_TGM2high,6.198901482130596e-05,0.0009248605936065334,0.0009226449532888598
FGFBP1,0.3004756428448789,4.597965124179332e-05,178,0.3008075667466546,0.00020330828479072675,149,0.2649187797143423,0.0003660461063840684,1.7368516666666665,1.1294017113095247,up_in_TGM2high,6.224074741267145e-05,0.00023754968012390176,0.0004895315398630312
SEMA7A,0.29905131132245094,5.0151162492412885e-05,178,0.3667486522945559,4.5476729630922385e-06,149,0.23135525369496562,0.0019462154449998827,1.2436099999999983,0.910198214285712,up_in_TGM2high,6.70696269476847e-05,8.275273752512105e-06,0.0022981905786700744
KLK5,0.298693030881369,5.125509964218205e-05,178,0.2987880105935893,0.0002253846922422378,149,0.21334103309624322,0.004356737680355833,1.207685,1.1610356398809525,up_in_TGM2high,6.77299530985977e-05,0.00026060105040508745,0.004934672270607117
E2F7,0.2962596110982851,5.937915818408455e-05,178,0.3699757553962721,3.6905663209113847e-06,149,0.29490240546090263,6.759271887321211e-05,0.9988616666666674,0.8486397321428569,up_in_TGM2high,7.754219480509866e-05,6.8275476936860615e-06,0.00011198196708845588
GJB3,0.29461117725166625,6.555332535900179e-05,178,0.32689050352784293,5.0123265902927506e-05,149,0.32385789336982673,1.0964754333492006e-05,1.613358333333334,1.1870311011904775,up_in_TGM2high,8.460952459126975e-05,6.545508841441121e-05,2.212886783668387e-05
CLSPN,0.2932338506419102,7.116886288607274e-05,178,0.31698292789274857,8.662818737004308e-05,149,0.2374526058789989,0.001460804100525044,1.0124683333333335,0.6134564732142849,up_in_TGM2high,9.080165264774798e-05,0.0001068414310897198,0.0017435403780460203
GABRP,0.29211248934759965,7.607073430944949e-05,178,0.26411990587009054,0.0011798303341731763,149,0.24838766175930602,0.0008573953015626588,2.1137700000000024,1.6936611607142869,up_in_TGM2high,9.595285804941924e-05,0.001259241991280986,0.0010458338293786278
CST2,0.2913923771861782,7.938362748857977e-05,178,0.32393690982216017,5.9120965612992034e-05,149,0.18092104146597843,0.015958419733032345,1.611131666666667,0.8259697916666653,up_in_TGM2high,9.900654664306017e-05,7.630729282607112e-05,0.016554996171650377
ANXA2P1,0.28762917199065036,9.900951157247216e-05,178,0.33220857454296066,3.7073550074236014e-05,149,0.27148637856488395,0.00025698919174271817,0.6764283333333339,0.6190370535714287,up_in_TGM2high,0.00012211173093938231,5.143955072800247e-05,0.00035657250354302145
DMBX1,0.28659509097257857,0.00010514937892068386,178,0.30838522329720935,0.00013716611507143064,149,0.2752940083904358,0.00020847709706654647,1.314876666666668,1.2252155505952378,up_in_TGM2high,0.00012825913252962536,0.00016197275290349788,0.0002929235161314767
GJB2,0.28572902846917164,0.00011056388150277073,178,0.29496050438212823,0.0002734513304343224,149,0.1598114952490424,0.033606239953021706,1.3664366666666634,0.7458858630952392,up_in_TGM2high,0.00013339772659573426,0.00031291853276504934,0.034539746618383424
ULBP2,0.281315929181885,0.00014244141146602183,178,0.3467460444077836,1.579519401965497e-05,149,0.24859705291395637,0.0008484947470153081,0.990146666666667,0.6535610119047615,up_in_TGM2high,0.0001700107169110583,2.4017349810708243e-05,0.0010458338293786278
EPHA2,0.2791093795382417,0.00016142290803552057,178,0.327068985640765,4.962297351066311e-05,149,0.2874814304607207,0.000104534992431654,0.9472449999999952,0.7229601190476203,up_in_TGM2high,0.00019061641268024236,6.545508841441121e-05,0.00016115811333213326
ITGB4,0.2773604588008948,0.0001781168619827874,178,0.3402293991260975,2.3276254317754514e-05,149,0.31226001548549137,2.3244301473604933e-05,1.162551666666669,0.7854155505952392,up_in_TGM2high,0.0002081154913693621,3.444885639027668e-05,4.209730719997048e-05
INHBA,0.27491133634104775,0.00020421170956329008,178,0.254947452827299,0.0017653170163737675,149,0.0728243783712913,0.33540679332133794,1.2237099999999987,0.6723511904761903,up_in_TGM2high,0.00023611978918255415,0.0018143536001619276,0.3384559459878956
SERPINB5,0.2733529519446629,0.00022262488062216329,178,0.3309226663909364,3.989843153302957e-05,149,0.2852996428320961,0.00011856232889661012,1.6447800000000008,1.275621949404762,up_in_TGM2high,0.0002547563066913415,5.400885244105222e-05,0.00017784349334491517
LOC100130238,0.2703598719078893,0.0002623971344657023,178,0.2670425288368799,0.0010345479326464857,149,0.26030215503218024,0.00046687578791376093,0.8618733333333333,0.6814584077380956,up_in_TGM2high,0.00029720491760911176,0.0011149011701335914,0.0006025954937026449
KRT19,0.2647435416630469,0.0003553908614458777,178,0.3152686693403496,9.504748046447912e-05,149,0.3176034422007032,1.65063016321343e-05,1.1082249999999974,1.0288645089285726,up_in_TGM2high,0.00039448385620492423,0.00011593703661051848,3.1589646227015644e-05
C6orf15,0.26280157385779335,0.0003940910525477287,178,0.274028980706324,0.0007511644680338122,149,0.2068085798509633,0.005747717032733525,1.5402166666666677,1.1585261160714295,up_in_TGM2high,0.0004331099686415632,0.0008337925595175316,0.006194141656635158
KCNN4,0.26157188468490705,0.00042057793963649946,178,0.349141614891917,1.3667116841155625e-05,149,0.3216947484799419,1.2644089420822187e-05,1.3289433333333314,0.7906431547619039,up_in_TGM2high,0.00045768775783972004,2.136690097701795e-05,2.506239153055826e-05
GJB5,0.25594008896493514,0.00056428509236994,178,0.24031018481208738,0.0032615471630939195,149,0.23021319633410475,0.0020520110686636224,1.492390000000002,1.0628080357142862,up_in_TGM2high,0.0006081130607093528,0.003321392065169037,0.0023976129328596007
PROM2,0.2555756870997703,0.0005749908778535718,178,0.29214280659382885,0.0003147341382204812,149,0.2639261934763451,0.0003858469138576884,1.6311683333333349,0.9610018601190492,up_in_TGM2high,0.0006136921869398699,0.0003564845851272797,0.0005098691361690883
