gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
KCNE3,0.3551310681412194,7.552034163006308e-07,184,0.3573034203990104,3.515033156097713e-06,161,0.43922511118908425,4.970571664493444e-10,2.132404838709678,1.2104943548387084,up_in_TGM2high,1.682410457666174e-06,8.119596884565197e-06,9.429023824160291e-10
RALGAPA2,0.35123882762753184,1.0154028801395575e-06,184,0.35658121634819195,3.6898407743930675e-06,161,0.464717906478716,3.424158922148524e-11,1.2121887096774202,0.7839026881720415,up_in_TGM2high,2.1768568594772706e-06,8.460953570586302e-06,7.880601048768294e-11
ZNF763,0.41077613607905833,6.965564980774395e-09,184,0.35649971610018927,3.710078062501881e-06,161,0.4670987254632205,2.6367371115168896e-11,1.1163822580645162,0.716136491935484,up_in_TGM2high,3.157136922731643e-08,8.476309734037145e-06,6.158945641080496e-11
PDE11A,0.3782020042047773,1.2022428230165265e-07,184,0.35616407001236583,3.794538256281871e-06,161,0.4397777402848131,4.701377459582665e-10,2.295174193548387,1.7416515456989243,up_in_TGM2high,3.2300601167740154e-07,8.60645271171178e-06,9.000190488375377e-10
KLHL32,0.33678968451099434,2.945309531681367e-06,184,0.35588183977844734,3.866966821273576e-06,161,0.39659447711413964,2.7305688285082395e-08,1.116559677419355,0.8815268817204305,up_in_TGM2high,5.621230996440658e-06,8.7076303241628e-06,4.108980977514802e-08
GIPC2,0.3478915836720541,1.3056995026840047e-06,184,0.3555263572538506,3.9600626137589595e-06,161,0.46164828026435845,4.781777487685967e-11,2.2116000000000016,1.6199773521505412,up_in_TGM2high,2.6887101601321937e-06,8.885301778541608e-06,1.0540115166519068e-10
ABCG8,0.30357978153613047,2.7995288651450942e-05,184,0.35532830650155595,4.012848081540924e-06,161,0.39287094163243996,3.7753761349088286e-08,1.736572580645161,1.0071679435483871,up_in_TGM2high,4.274402608733729e-05,8.971581782302209e-06,5.574022312388978e-08
PLS1,0.3093486929552503,1.9295017290598936e-05,184,0.3549714318571006,4.109654288529517e-06,161,0.47329125000302297,1.3235995387425725e-11,1.4870870967741947,1.3048383064516127,up_in_TGM2high,3.0611003691643415e-05,9.155315247756147e-06,3.354547818837451e-11
SLC1A1,0.3807112172757219,9.758682510927772e-08,184,0.35441805741702276,4.264158386642573e-06,161,0.4792874572010197,6.701301605216819e-12,1.7441403225806464,1.004491465053765,up_in_TGM2high,2.7394328483590964e-07,9.465826773185286e-06,1.8239194803764037e-11
FA2H,0.3445955577815877,1.6678334793230693e-06,184,0.3543239864946269,4.290965467968049e-06,161,0.5203742537595104,4.347178029679101e-14,2.1519758064516115,1.554910080645162,up_in_TGM2high,3.367947606633037e-06,9.491676264833916e-06,2.0158025530215682e-13
